Date, Open, High, Low, Close, Volume
09/17/12, 93.78, 93.98, 93.70, 93.80, 3075492
09/14/12, 93.90, 94.04, 93.71, 93.88, 3467181
09/13/12, 93.3299, 93.91, 93.26, 93.89, 5946714
09/12/12, 93.13, 93.31, 93.08, 93.29, 1957402
09/11/12, 92.43, 93.01, 92.43, 93.01, 4400253
09/10/12, 92.48, 92.71, 92.32, 92.38, 2138510
09/07/12, 92.50, 92.60, 92.3709, 92.53, 3403301
09/06/12, 91.86, 92.38, 91.86, 92.37, 3305925
09/05/12, 91.91, 91.92, 91.76, 91.83, 1540952
09/04/12, 91.87, 91.87, 91.56, 91.82, 3921469
08/31/12, 92.25, 92.40, 92.09, 92.33, 1801732
08/30/12, 92.08, 92.1829, 92.00, 92.09, 2022379
08/29/12, 92.13, 92.17, 92.00, 92.13, 1617582
08/28/12, 92.07, 92.15, 91.95, 92.00, 1795636
08/27/12, 92.12, 92.225, 91.916, 92.08, 1883567
08/24/12, 91.77, 92.16, 91.69, 92.15, 2082048
08/23/12, 91.77, 91.85, 91.61, 91.74, 1141671
08/22/12, 91.76, 91.868, 91.68, 91.76, 1889022
08/21/12, 91.73, 91.861, 91.70, 91.85, 2531159
08/20/12, 91.56, 91.70, 91.41, 91.65, 2333136
08/17/12, 91.49, 91.65, 91.39, 91.54, 2221960
08/16/12, 91.3388, 91.58, 91.08, 91.54, 2914232
08/15/12, 91.73, 91.73, 91.20, 91.20, 2580390
08/14/12, 91.50, 91.79, 91.47, 91.64, 2380981
08/13/12, 91.41, 91.50, 91.25, 91.50, 2007714
08/10/12, 91.42, 91.58, 91.31, 91.45, 1533504
08/09/12, 91.62, 91.66, 91.382, 91.53, 2975506
08/08/12, 91.58, 91.705, 91.48, 91.52, 3162065
08/07/12, 91.82, 91.90, 91.36, 91.46, 3680569
08/06/12, 91.65, 91.99, 91.64, 91.64, 2864304
08/03/12, 91.60, 91.90, 91.57, 91.70, 4601975
08/02/12, 91.46, 91.59, 91.15, 91.32, 4516535
08/01/12, 91.41, 91.69, 91.15, 91.69, 3598094
07/31/12, 91.95, 91.99, 91.54, 91.70, 3530721
07/30/12, 91.90, 91.95, 91.65, 91.92, 3889648
07/27/12, 91.37, 91.94, 91.37, 91.92, 5556721
07/26/12, 90.89, 91.42, 90.83, 91.38, 4330864
07/25/12, 90.89, 90.93, 90.44, 90.45, 2890962
07/24/12, 91.12, 91.16, 90.57, 90.64, 3447675
07/23/12, 90.84, 91.29, 90.58, 91.20, 4562472
07/20/12, 91.51, 91.61, 91.23, 91.35, 2733410
07/19/12, 91.51, 91.89, 91.48, 91.78, 4718117
07/18/12, 91.13, 91.55, 91.09, 91.55, 3958541
07/17/12, 91.00, 91.19, 90.69, 91.17, 4036417
07/16/12, 90.69, 91.03, 90.66, 90.74, 2178846
